['shall suffer hunger'],"` But we must provide for the winter or else we shall suffer hunger , ' said the Cat .",,
['time begged uneasy'],"The Princess assured him that she would only stay a very short time , as she had done before , and begged him not to be uneasy , as she would be quite as much grieved if anything detained her as he could possibly be .",,
['marriage ceremony began'],"So , with the same escort , she set out , and reached the palace as the marriage ceremony began .",,
['everybody delighted pretty'],"Everybody was delighted to see her ; she was so pretty that they thought she must be some fairy princess , and the Princes who were there could not take their eyes off her .",,
['orders doors shut'],"The King was more glad than anyone else that she had come again , and gave orders that the doors should all be shut and bolted that very minute .",,
['dismay door fastened'],"When the wedding was all but over the Princess got up quickly , hoping to slip away unnoticed among the crowd , but , to her great dismay , she found every door fastened .",,
['feast prepared princes'],"She felt more at ease when the King came up to her , and with the greatest respect begged her not to run away so soon , but at least to honor him by staying for the splendid feast which was prepared for the Princes and Princesses .",,
['bowl water offered'],"He led her into a magnificent hall , where all the Court was assembled , and himself taking up the golden bowl full of water , he offered it to her that she might dip her pretty fingers into it .",,
['wash hands sister'],"At this the Princess could no longer contain herself ; throwing herself at the King 's feet , she cried out : `` My dream has come true after all -- you have offered me water to wash my hands on my sister 's wedding day , and it has not vexed you to do it . ''",,
['king recognized thought'],"The King recognized her at once -- indeed , he had already thought several times how much like his poor little Miranda she was .",,
['daughter cried kissing'],"`` Oh !my dear daughter , '' he cried , kissing her , `` can you ever forget my cruelty ?",,
['dream portended loss'],I ordered you to be put to death because I thought your dream portended the loss of my crown .,,
['married kingdoms shall'],"And so it did , '' he added , `` for now your sisters are both married and have kingdoms of their own -- and mine shall be for you . ''",,
['princess head cried'],So saying he put his crown on the Princess 's head and cried : `` Long live Queen Miranda ! '',,
['court cried long'],"All the Court cried : `` Long live Queen Miranda ! ''after him , and the young Queen 's two sisters came running up , and threw their arms round her neck , and kissed her a thousand times , and then there was such a laughing and crying , talking and kissing , all at once , and Miranda thanked her father , and began to ask after everyone -- particularly the Captain of the Guard , to whom she owed so much ; but , to her great sorrow , she heard that he was dead .",,
['banquet king asked'],"Presently they sat down to the banquet , and the King asked Miranda to tell them all that had happened to her since the terrible morning when he had sent the Captain of the Guard to fetch her .",,
['guests listened breathless'],This she did with so much spirit that all the guests listened with breathless interest .,,
['sheep waiting impatiently'],"But while she was thus enjoying herself with the King and her sisters , the King of the Sheep was waiting impatiently for the time of her return , and when it came and went , and no Princess appeared , his anxiety became so great that he could bear it no longer .",,
['miserable sheep face'],"`` My miserable sheep 's face displeases her , and without Miranda what is left to me , wretched creature that I am !",,
['ragotte punishment complete'],Oh !cruel Ragotte ; my punishment is complete . '',,
['time bewailed sad'],"For a long time he bewailed his sad fate like this , and then , seeing that it was growing dark , and that still there was no sign of the Princess , he set out as fast as he could in the direction of the town .",,
['king sheep refused'],"When he reached the palace he asked for Miranda , but by this time everyone had heard the story of her adventures , and did not want her to go back again to the King of the Sheep , so they refused sternly to let him see her .",,
['vain begged prayed'],"In vain he begged and prayed them to let him in ; though his entreaties might have melted hearts of stone they did not move the guards of the palace , and at last , quite broken-hearted , he fell dead at their feet .",,
['chariot round town'],"In the meantime the King , who had not the least idea of the sad thing that was happening outside the gate of his palace , proposed to Miranda that she should be driven in her chariot all round the town , which was to be illuminated with thousands and thousands of torches , placed in windows and balconies , and in all the grand squares .",,
['eyes entrance palace'],But what a sight met her eyes at the very entrance of the palace !,,
['kind sheep silent'],"There lay her dear , kind sheep , silent and motionless , upon the pavement !",,
['ran crying bitterly'],"She threw herself out of the chariot and ran to him , crying bitterly , for she realized that her broken promise had cost him his life , and for a long , long time she was so unhappy that they thought she would have died too .",,
['misfortunes happen people'],So you see that even a princess is not always happy -- especially if she forgets to keep her word ; and the greatest misfortunes often happen to people just as they think they have obtained their heart 's desires !,,
['trade children boys'],"LITTLE THUMB There was , once upon a time , a man and his wife fagot-makers by trade , who had several children , all boys .",,
['old youngest seven'],"The eldest was but ten years old , and the youngest only seven .",,
['poor seven children'],"They were very poor , and their seven children incommoded them greatly , because not one of them was able to earn his bread .",,
['puny constitution scarce'],"That which gave them yet more uneasiness was that the youngest was of a very puny constitution , and scarce ever spoke a word , which made them take that for stupidity which was a sign of good sense .",,
['called little thumb'],"He was very little , and when born no bigger than one 's thumb , which made him be called Little Thumb .",,
['wrong notwithstanding cunning'],"The poor child bore the blame of whatsoever was done amiss in the house , and , guilty or not , was always in the wrong ; he was , notwithstanding , more cunning and had a far greater share of wisdom than all his brothers put together ; and , if he spake little , he heard and thought the more .",,
['bad year famine'],"There happened now to come a very bad year , and the famine was so great that these poor people resolved to rid themselves of their children .",,
['busy tying fagots'],"One evening , when they were all in bed and the fagot-maker was sitting with his wife at the fire , he said to her , with his heart ready to burst with grief : `` Thou seest plainly that we are not able to keep our children , and I can not see them starve to death before my face ; I am resolved to lose them in the wood to-morrow , which may very easily be done ; for , while they are busy in tying up fagots , we may run away , and leave them , without their taking any notice . ''",,
['cried wife canst'],`` Ah ! ''cried his wife ; `` and canst thou thyself have the heart to take thy children out along with thee on purpose to lose them ? '',,
['consent poor mother'],"In vain did her husband represent to her their extreme poverty : she would not consent to it ; she was indeed poor , but she was their mother .",,
['grief perish hunger'],"However , having considered what a grief it would be to her to see them perish with hunger , she at last consented , and went to bed all in tears .",,
['hid father stool'],"Little Thumb heard every word that had been spoken ; for observing , as he lay in his bed , that they were talking very busily , he got up softly , and hid himself under his father 's stool , that he might hear what they said without being seen .",,
['rest night thinking'],"He went to bed again , but did not sleep a wink all the rest of the night , thinking on what he had to do .",,
['pebbles returned home'],"He got up early in the morning , and went to the river-side , where he filled his pockets full of small white pebbles , and then returned home .",,
['went abroad little'],"They all went abroad , but Little Thumb never told his brothers one syllable of what he knew .",,
['forest paces distance'],"They went into a very thick forest , where they could not see one another at ten paces distance .",,
['cut wood children'],"The fagot-maker began to cut wood , and the children to gather up the sticks to make fagots .",,
['insensibly ran away'],"Their father and mother , seeing them busy at their work , got away from them insensibly , and ran away from them all at once , along a by-way through the winding bushes .",,
['children saw left'],"When the children saw they were left alone , they began to cry as loud as they could .",,
['took care drop'],"Little Thumb let them cry on , knowing very well how to get home again , for , as he came , he took care to drop all along the way the little white pebbles he had in his pockets .",,
['lead home follow'],"Then he said to them : `` Be not afraid , brothers ; father and mother have left us here , but I will lead you home again , only follow me . ''",,
['did brought home'],"They did so , and he brought them home by the very same way they came into the forest .",,
['sat door listening'],"They dared not go in , but sat themselves down at the door , listening to what their father and mother were saying .",,
['crowns owed long'],"The very moment the fagot-maker and his wife reached home the lord of the manor sent them ten crowns , which he had owed them a long while , and which they never expected .",,
['poor people famished'],"This gave them new life , for the poor people were almost famished .",,
['wife immediately butcher'],The fagot-maker sent his wife immediately to the butcher 's .,,
['bought thrice meat'],"As it was a long while since they had eaten a bit , she bought thrice as much meat as would sup two people .",,
['eaten woman said'],"When they had eaten , the woman said : `` Alas !where are now our poor children ?",,
['wolves eaten thou'],"Alas !dear God , the wolves have perhaps already eaten them up ; thou art very inhuman thus to have lost thy children . ''",,
['repeated times repent'],"The fagot-maker grew at last quite out of patience , for she repeated it above twenty times , that they should repent of it , and that she was in the right of it for so saying .",,
['threatened beat did'],He threatened to beat her if she did not hold her tongue .,,
['wife teased humor'],"It was not that the fagot-maker was not , perhaps , more vexed than his wife , but that she teased him , and that he was of the humor of a great many others , who love wives to speak well , but think those very importunate who are continually doing so .",,
['drowned tears crying'],"She was half-drowned in tears , crying out : `` Alas !where are now my children , my poor children ? ''",,
['loud children gate'],"She spoke this so very loud that the children , who were at the gate , began to cry out all together : `` Here we are !",,
['let clean thee'],"She ran immediately to open the door , and said , hugging them : `` I am glad to see you , my dear children ; you are very hungry and weary ; and my poor Peter , thou art horribly bemired ; come in and let me clean thee . ''",,
['know peter eldest'],"Now , you must know that Peter was her eldest son , whom she loved above all the rest , because he was somewhat carroty , as she herself was .",,
['acquainted frightened forest'],"They sat down to supper , and ate with such a good appetite as pleased both father and mother , whom they acquainted how frightened they were in the forest , speaking almost always all together .",,
['uneasiness resolved lose'],"The good folks were extremely glad to see their children once more at home , and this joy continued while the ten crowns lasted ; but , when the money was all gone , they fell again into their former uneasiness , and resolved to lose them again ; and , that they might be the surer of doing it , to carry them to a much greater distance than before .",,
['pebbles disappointed house'],"They could not talk of this so secretly but they were overheard by Little Thumb , who made account to get out of this difficulty as well as the former ; but , though he got up very early in the morning to go and pick up some little pebbles , he was disappointed , for he found the house-door double-locked , and was at a stand what to do .",,
['pass bread pocket'],"When their father had given each of them a piece of bread for their breakfast , Little Thumb fancied he might make use of this instead of the pebbles by throwing it in little bits all along the way they should pass ; and so he put the bread in his pocket .",,
['forest stealing away'],"Their father and mother brought them into the thickest and most obscure part of the forest , when , stealing away into a by-path , they there left them .",,
['bread scattered came'],"Little Thumb was not very uneasy at it , for he thought he could easily find the way again by means of his bread , which he had scattered all along as he came ; but he was very much surprised when he could not find so much as one crumb ; the birds had come and had eaten it up , every bit .",,
['way bewildered forest'],"They were now in great affliction , for the farther they went the more they were out of their way , and were more and more bewildered in the forest .",,
['wind dreadfully afraid'],"Night now came on , and there arose a terribly high wind , which made them dreadfully afraid .",,
['fancied heard howling'],They fancied they heard on every side of them the howling of wolves coming to eat them up .,,
['scarce dared speak'],They scarce dared to speak or turn their heads .,,
['rained hard wetted'],"After this , it rained very hard , which wetted them to the skin ; their feet slipped at every step they took , and they fell into the mire , whence they got up in a very dirty pickle ; their hands were quite benumbed .",,
['climbed tree discover'],"Little Thumb climbed up to the top of a tree , to see if he could discover anything ; and having turned his head about on every side , he saw at last a glimmering light , like that of a candle , but a long way from the forest .",,
['ground grieved sadly'],"He came down , and , when upon the ground , he could see it no more , which grieved him sadly .",,
['brothers seen light'],"However , having walked for some time with his brothers toward that side on which he had seen the light , he perceived it again as he came out of the wood .",,
['candle abundance fear'],"They came at last to the house where this candle was , not without an abundance of fear : for very often they lost sight of it , which happened every time they came into a bottom .",,
['woman came opened'],"They knocked at the door , and a good woman came and opened it ; she asked them what they would have .",,
['lost forest desired'],"Little Thumb told her they were poor children who had been lost in the forest , and desired to lodge there for God 's sake .",,
['pretty began weep'],"The woman , seeing them so very pretty , began to weep , and said to them : `` Alas !poor babies ; whither are ye come ?",,
['cruel ogre eats'],Do ye know that this house belongs to a cruel ogre who eats up little children ? '',,
['trembled joint brothers'],"`` Ah !dear madam , '' answered Little Thumb -LRB- who trembled every joint of him , as well as his brothers -RRB- , `` what shall we do ?",,
['wolves forest devour'],"To be sure the wolves of the forest will devour us to-night if you refuse us to lie here ; and so we would rather the gentleman should eat us ; and perhaps he may take pity upon us , especially if you please to beg it of him . ''",,
['roasting ogre supper'],"The Ogre 's wife , who believed she could conceal them from her husband till morning , let them come in , and brought them to warm themselves at a very good fire ; for there was a whole sheep upon the spit , roasting for the Ogre 's supper .",,
['ogre come home'],"As they began to be a little warm they heard three or four great raps at the door ; this was the Ogre , who had come home .",,
['hid bed went'],Upon this she hid them under the bed and went to open the door .,,
['supper ready wine'],"The Ogre presently asked if supper was ready and the wine drawn , and then sat himself down to table .",,
['sheep raw bloody'],The sheep was as yet all raw and bloody ; but he liked it the better for that .,,
['smell fresh meat'],"He sniffed about to the right and left , saying : `` I smell fresh meat . ''",,
['said wife calf'],"`` What you smell so , '' said his wife , `` must be the calf which I have just now killed and flayed . ''",,
['smell fresh meat'],"`` I smell fresh meat , I tell thee once more , '' replied the Ogre , looking crossly at his wife ; `` and there is something here which I do not understand . ''",,
['went directly bed'],As he spoke these words he got up from the table and went directly to the bed .,,
['cheat thou cursed'],"`` Ah , ah ! ''said he ; `` I see then how thou wouldst cheat me , thou cursed woman ; I know not why I do not eat thee up too , but it is well for thee that thou art a tough old carrion .",,
['quickly entertain ogres'],"Here is good game , which comes very quickly to entertain three ogres of my acquaintance who are to pay me a visit in a day or two . ''",,
['wife delicate eating'],"The poor children fell upon their knees , and begged his pardon ; but they had to do with one of the most cruel ogres in the world , who , far from having any pity on them , had already devoured them with his eyes , and told his wife they would be delicate eating when tossed up with good savory sauce .",,
['great knife coming'],"He then took a great knife , and , coming up to these poor children , whetted it upon a great whet-stone which he held in his left hand .",,
['wife said need'],He had already taken hold of one of them when his wife said to him : `` Why need you do it now ?,,
['ogre eat tenderer'],"`` Hold your prating , '' said the Ogre ; `` they will eat the tenderer .",,
['meat replied wife'],"`` But you have so much meat already , '' replied his wife , `` you have no occasion ; here are a calf , two sheep , and half a hog . ''",,
['said ogre belly'],"`` That is true , '' said the Ogre ; `` give them their belly full that they may not fall away , and put them to bed . ''",,
['supper afraid eat'],"The good woman was overjoyed at this , and gave them a good supper ; but they were so much afraid they could not eat a bit .",,
['drink highly pleased'],"As for the Ogre , he sat down again to drink , being highly pleased that he had got wherewithal to treat his friends .",,
['head obliged bed'],"He drank a dozen glasses more than ordinary , which got up into his head and obliged him to go to bed .",,
['ogre seven daughters'],"The Ogre had seven daughters , all little children , and these young ogresses had all of them very fine complexions , because they used to eat fresh meat like their father ; but they had little gray eyes , quite round , hooked noses , and very long sharp teeth , standing at a good distance from each other .",,
['children suck blood'],"They were not as yet over and above mischievous , but they promised very fair for it , for they had already bitten little children , that they might suck their blood .",,
['bed early crown'],"They had been put to bed early , with every one a crown of gold upon her head .",,
['bed ogre wife'],"There was in the same chamber a bed of the like bigness , and it was into this bed the Ogre 's wife put the seven little boys , after which she went to bed to her husband .",,
['midnight taking brothers'],"Little Thumb , who had observed that the Ogre 's daughters had crowns of gold upon their heads , and was afraid lest the Ogre should repent his not killing them , got up about midnight , and , taking his brothers ' bonnets and his own , went very softly and put them upon the heads of the seven little ogresses , after having taken off their crowns of gold , which he put upon his own head and his brothers ' , that the Ogre might take them for his daughters , and his daughters for the little boys whom he wanted to kill .",,
['ogre waking midnight'],"All this succeeded according to his desire ; for , the Ogre waking about midnight , and sorry that he deferred to do that till morning which he might have done over-night , threw himself hastily out of bed , and , taking his great knife , `` Let us see , '' said he , `` how our little rogues do , and not make two jobs of the matter . ''",,
['chamber coming bed'],"He then went up , groping all the way , into his daughters ' chamber , and , coming to the bed where the little boys lay , and who were every soul of them fast asleep , except Little Thumb , who was terribly afraid when he found the Ogre fumbling about his head , as he had done about his brothers ' , the Ogre , feeling the golden crowns , said : `` I should have made a fine piece of work of it , truly ; I find I drank too much last night . ''",,
['lay having boys'],"Then he went to the bed where the girls lay ; and , having found the boys ' little bonnets , `` Ah ! ''said he , `` my merry lads , are you there ?",,
['let work ought'],Let us work as we ought . '',,
['cut throats seven'],"And saying these words , without more ado , he cut the throats of all his seven daughters .",,
['pleased went bed'],"Well pleased with what he had done , he went to bed again to his wife .",,
['snore waked brothers'],"So soon as Little Thumb heard the Ogre snore , he waked his brothers , and bade them all put on their clothes presently and follow him .",,
['stole softly garden'],"They stole down softly into the garden , and got over the wall .",,
['running night trembled'],"They kept running about all night , and trembled all the while , without knowing which way they went .",,
['wife upstairs dress'],"The Ogre , when he awoke , said to his wife : `` Go upstairs and dress those young rascals who came here last night . ''",,
['seven daughters killed'],"The wife was very much surprised at this goodness of her husband , not dreaming after what manner she should dress them ; but , thinking that he had ordered her to go and put on their clothes , she went up , and was strangely astonished when she perceived her seven daughters killed , and weltering in their blood .",,
['fainted away expedient'],"She fainted away , for this is the first expedient almost all women find in such cases .",,
['ogre fearing wife'],"The Ogre , fearing his wife would be too long in doing what he had ordered , went up himself to help her .",,
['amazed wife frightful'],He was no less amazed than his wife at this frightful spectacle .,,
['wretches shall pay'],"`` The wretches shall pay for it , and that instantly . ''",,
['pitcher water wife'],"He threw a pitcher of water upon his wife 's face , and , having brought her to herself , said : `` Give me quickly my boots of seven leagues , that I may go and catch them . ''",,
['ground came road'],"He went out , and , having run over a vast deal of ground , both on this side and that , he came at last into the very road where the poor children were , and not above a hundred paces from their father 's house .",,
['easily narrowest kennels'],"They espied the Ogre , who went at one step from mountain to mountain , and over rivers as easily as the narrowest kennels .",,
['place brothers hide'],"Little Thumb , seeing a hollow rock near the place where they were , made his brothers hide themselves in it , and crowded into it himself , minding always what would become of the Ogre .",,
['ogre tired long'],"The Ogre , who found himself much tired with his long and fruitless journey -LRB- for these boots of seven leagues greatly fatigued the wearer -RRB- , had a great mind to rest himself , and , by chance , went to sit down upon the rock where the little boys had hid themselves .",,
['began snore frightfully'],"As it was impossible he could be more weary than he was , he fell asleep , and , after reposing himself some time , began to snore so frightfully that the poor children were no less afraid of him than when he held up his great knife and was going to cut their throats .",,
['thumb frightened brothers'],"Little Thumb was not so much frightened as his brothers , and told them that they should run away immediately toward home while the Ogre was asleep so soundly , and that they should not be in any pain about him .",,
['got home presently'],"They took his advice , and got home presently .",,
['boots gently legs'],"Little Thumb came up to the Ogre , pulled off his boots gently and put them on his own legs .",,
['boots long large'],"The boots were very long and large , but , as they were fairies , they had the gift of becoming big and little , according to the legs of those who wore them ; so that they fitted his feet and legs as well as if they had been made on purpose for him .",,
['wife crying bitterly'],"He went immediately to the Ogre 's house , where he saw his wife crying bitterly for the loss of the Ogre 's murdered daughters .",,
['thieves sworn kill'],"`` Your husband , '' said Little Thumb , `` is in very great danger , being taken by a gang of thieves , who have sworn to kill him if he does not give them all his gold and silver .",,
['daggers throat perceived'],"The very moment they held their daggers at his throat he perceived me , and desired me to come and tell you the condition he is in , and that you should give me whatsoever he has of value , without retaining any one thing ; for otherwise they will kill him without mercy ; and , as his case is very pressing , he desired me to make use -LRB- you see I have them on -RRB- of his boots , that I might make the more haste and to show you that I do not impose upon you . ''",,
['frightened gave ogre'],"The good woman , being sadly frightened , gave him all she had : for this Ogre was a very good husband , though he used to eat up little children .",,
['received abundance joy'],"Little Thumb , having thus got all the Ogre 's money , came home to his father 's house , where he was received with abundance of joy .",,
['ogre thought justly'],"There are many people who do not agree in this circumstance , and pretend that Little Thumb never robbed the Ogre at all , and that he only thought he might very justly , and with a safe conscience , take off his boots of seven leagues , because he made no other use of them but to run after little children .",,
['having drunk eaten'],"These folks affirm that they are very well assured of this , and the more as having drunk and eaten often at the fagot-maker 's house .",,
['pain certain army'],"They aver that when Little Thumb had taken off the Ogre 's boots he went to Court , where he was informed that they were very much in pain about a certain army , which was two hundred leagues off , and the success of a battle .",,
['bring news army'],"He went , say they , to the King , and told him that , if he desired it , he would bring him news from the army before night .",,
['king promised great'],The King promised him a great sum of money upon that condition .,,
['pleased king paid'],"Little Thumb was as good as his word , and returned that very same night with the news ; and , this first expedition causing him to be known , he got whatever he pleased , for the King paid him very well for carrying his orders to the army .",,
['wealth went home'],"After having for some time carried on the business of a messenger , and gained thereby great wealth , he went home to his father , where it was impossible to express the joy they were all in at his return .",,
['family easy bought'],"He made the whole family very easy , bought places for his father and brothers , and , by that means , settled them very handsomely in the world , and , in the meantime , made his court to perfection .",,
['forest selling town'],"Cassim was married to a rich wife and lived in plenty , while Ali Baba had to maintain his wife and children by cutting wood in a neighboring forest and selling it in the town .",,
['horseback coming cloud'],"One day , when Ali Baba was in the forest , he saw a troop of men on horseback , coming toward him in a cloud of dust .",,
['robbers climbed tree'],"He was afraid they were robbers , and climbed into a tree for safety .",,
['came dismounted counted'],"When they came up to him and dismounted , he counted forty of them .",,
['horses tied trees'],They unbridled their horses and tied them to trees .,,
['man ali baba'],"The finest man among them , whom Ali Baba took to be their captain , went a little way among some bushes , and said : `` Open , Sesame ! ''",,
['ali baba heard'],-LRB- 1 -RRB- so plainly that Ali Baba heard him .,,
['troop followed door'],"A door opened in the rocks , and having made the troop go in , he followed them , and the door shut again of itself .",,
['sit patiently tree'],"They stayed some time inside , and Ali Baba , fearing they might come out and catch him , was forced to sit patiently in the tree .",,
['opened thieves came'],"At last the door opened again , and the Forty Thieves came out .",,
['saying shut sesame'],"As the Captain went in last he came out first , and made them all pass by him ; he then closed the door , saying : `` Shut , Sesame ! ''",,
['horse mounted captain'],"Every man bridled his horse and mounted , the Captain put himself at their head , and they returned as they came .",,
['sesame flew open'],"Then Ali Baba climbed down and went to the door concealed among the bushes , and said : `` Open , Sesame ! ''and it flew open .",,
['baba expected dull'],"Ali Baba , who expected a dull , dismal place , was greatly surprised to find it large and well lighted , hollowed by the hand of man in the form of a vault , which received the light from an opening in the ceiling .",,
['rich bales merchandise'],"He saw rich bales of merchandise -- silk , stuff-brocades , all piled together , and gold and silver in heaps , and money in leather purses .",,
['went door shut'],He went in and the door shut behind him .,,
['loaded bags hid'],"He did not look at the silver , but brought out as many bags of gold as he thought his asses , which were browsing outside , could carry , loaded them with the bags , and hid it all with fagots .",,
['shut sesame closed'],"Using the words : `` Shut , Sesame ! ''he closed the door and went home .",,
['bags wife emptied'],"Then he drove his asses into the yard , shut the gates , carried the money-bags to his wife , and emptied them out before her .",,
['secret bury gold'],"He bade her keep the secret , and he would go and bury the gold .",,
['measure said wife'],"`` Let me first measure it , '' said his wife .",,
['borrow measure dig'],"`` I will go borrow a measure of someone , while you dig the hole . ''",,
['wife cassim borrowed'],So she ran to the wife of Cassim and borrowed a measure .,,
['grain wife wished'],"Knowing Ali Baba 's poverty , the sister was curious to find out what sort of grain his wife wished to measure , and artfully put some suet at the bottom of the measure .",,
['gold filled emptied'],"Ali Baba 's wife went home and set the measure on the heap of gold , and filled it and emptied it often , to her great content .",,
['carried sister noticing'],"She then carried it back to her sister , without noticing that a piece of gold was sticking to it , which Cassim 's wife perceived directly her back was turned .",,
['cassim brother richer'],"She grew very curious , and said to Cassim when he came home : `` Cassim , your brother is richer than you .",,
['count money measures'],"He does not count his money , he measures it . ''",,
['begged explain riddle'],"He begged her to explain this riddle , which she did by showing him the piece of money and telling him where she found it .",,
['cassim grew envious'],"Then Cassim grew so envious that he could not sleep , and went to his brother in the morning before sunrise .",,
['poor measure gold'],"`` Ali Baba , '' he said , showing him the gold piece , `` you pretend to be poor and yet you measure gold . ''",,
['wife knew secret'],"By this Ali Baba perceived that through his wife 's folly Cassim and his wife knew their secret , so he confessed all and offered Cassim a share .",,
['treasure discover lose'],"`` That I expect , '' said Cassim ; `` but I must know where to find the treasure , otherwise I will discover all , and you will lose all . ''",,
['told cave words'],"Ali Baba , more out of kindness than fear , told him of the cave , and the very words to use .",,
['baba meaning treasure'],"Cassim left Ali Baba , meaning to be beforehand with him and get the treasure for himself .",,
['morning set mules'],"He rose early next morning , and set out with ten mules loaded with great chests .",,
['soon place door'],"He soon found the place , and the door in the rock .",,
['sesame door opened'],"He said : `` Open , Sesame ! ''and the door opened and shut behind him .",,
['treasures hastened gather'],"He could have feasted his eyes all day on the treasures , but he now hastened to gather together as much of it as possible ; but when he was ready to go he could not remember what to say for thinking of his great riches .",,
['open barley door'],"Instead of `` Sesame , '' he said : `` Open , Barley ! ''and the door remained fast .",,
['grain right door'],"He named several different sorts of grain , all but the right one , and the door still stuck fast .",,
['frightened danger forgotten'],He was so frightened at the danger he was in that he had as much forgotten the word as if he had never heard it .,,
['robbers returned cave'],"About noon the robbers returned to their cave , and saw Cassim 's mules roving about with great chests on their backs .",,
['alarm drew sabres'],"This gave them the alarm ; they drew their sabres , and went to the door , which opened on their Captain 's saying : `` Open , Sesame ! ''",,
['sell life dearly'],"Cassim , who had heard the trampling of their horses ' feet , resolved to sell his life dearly , so when the door opened he leaped out and threw the Captain down .",,
['vain robbers sabres'],"In vain , however , for the robbers with their sabres soon killed him .",,
['cave saw bags'],"On entering the cave they saw all the bags laid ready , and could not imagine how anyone had got in without knowing their secret .",,
['away search treasure'],"They cut Cassim 's body into four quarters , and nailed them up inside the cave , in order to frighten anyone who should venture in , and went away in search of more treasure .",,
['wife grew uneasy'],"As night drew on Cassim 's wife grew very uneasy , and ran to her brother-in-law , and told him where her husband had gone .",,
['forest search cassim'],"Ali Baba did his best to comfort her , and set out to the forest in search of Cassim .",,
['cave dead brother'],The first thing he saw on entering the cave was his dead brother .,,
['horror body asses'],"Full of horror , he put the body on one of his asses , and bags of gold on the other two , and , covering all with some fagots , returned home .",,
['gold yard led'],"He drove the two asses laden with gold into his own yard , and led the other to Cassim 's house .",,
['knew brave cunning'],"The door was opened by the slave Morgiana , whom he knew to be both brave and cunning .",,
['master murdered bury'],"Unloading the ass , he said to her : `` This is the body of your master , who has been murdered , but whom we must bury as though he had died in his bed .",,
['tell mistress come'],"I will speak with you again , but now tell your mistress I am come . ''",,
['wife promise counsel'],"The wife of Cassim , on learning the fate of her husband , broke out into cries and tears , but Ali Baba offered to take her to live with him and his wife if she would promise to keep his counsel and leave everything to Morgiana ; whereupon she agreed , and dried her eyes .",,
['morgiana sought apothecary'],"Morgiana , meanwhile , sought an apothecary and asked him for some lozenges .",,
['poor master said'],"`` My poor master , '' she said , `` can neither eat nor speak , and no one knows what his distemper is . ''",,
['returned day weeping'],"She carried home the lozenges and returned next day weeping , and asked for an essence only given to those just about to die .",,
['cries cassim wife'],"Thus , in the evening , no one was surprised to hear the wretched shrieks and cries of Cassim 's wife and Morgiana , telling everyone that Cassim was dead .",,
['bade follow needle'],"The day after Morgiana went to an old cobbler near the gates of the town who opened his stall early , put a piece of gold in his hand , and bade him follow her with his needle and thread .",,
['bandage bade sew'],"Having bound his eyes with a handkerchief , she took him to the room where the body lay , pulled off the bandage , and bade him sew the quarters together , after which she covered his eyes again and led him home .",,
['grave weeping tearing'],"Then they buried Cassim , and Morgiana his slave followed him to the grave , weeping and tearing her hair , while Cassim 's wife stayed at home uttering lamentable cries .",,
['ali baba gave'],"Next day she went to live with Ali Baba , who gave Cassim 's shop to his eldest son .",,
['thieves return cave'],"The Forty Thieves , on their return to the cave , were much astonished to find Cassim 's body gone and some of their money-bags .",,
['undone knows secret'],"`` We are certainly discovered , '' said the Captain , `` and shall be undone if we can not find out who it is that knows our secret .",,
['men known killed'],"Two men must have known it ; we have killed one , we must now find the other .",,
['traveler discover killed'],"To this end one of you who is bold and artful must go into the city dressed as a traveler , and discover whom we have killed , and whether men talk of the strange manner of his death .",,
['lose life lest'],"If the messenger fails he must lose his life , lest we be betrayed . ''",,
['thieves started offered'],"One of the thieves started up and offered to do this , and after the rest had highly commended him for his bravery he disguised himself , and happened to enter the town at daybreak , just by Baba Mustapha 's stall .",,
['thief bade good'],"The thief bade him good-day , saying : `` Honest man , how can you possibly see to stitch at your age ? ''",,
['sewed dead body'],"`` Old as I am , '' replied the cobbler , `` I have very good eyes , and will you believe me when I tell you that I sewed a dead body together in a place where I had less light than I have now . ''",,
['robber overjoyed good'],"The robber was overjoyed at his good fortune , and , giving him a piece of gold , desired to be shown the house where he stitched up the dead body .",,
['saying blindfolded robber'],"At first Mustapha refused , saying that he had been blindfolded ; but when the robber gave him another piece of gold he began to think he might remember the turnings if blindfolded as before .",,
['means succeeded robber'],"This means succeeded ; the robber partly led him , and was partly guided by him , right in front of Cassim 's house , the door of which the robber marked with a piece of chalk .",,
['farewell baba mustapha'],"Then , well pleased , he bade farewell to Baba Mustapha and returned to the forest .",,
['robber quickly guessed'],"By and by Morgiana , going out , saw the mark the robber had made , quickly guessed that some mischief was brewing , and fetching a piece of chalk marked two or three doors on each side , without saying anything to her master or mistress .",,
['thief meantime told'],"The thief , meantime , told his comrades of his discovery .",,
['thanked bade house'],"The Captain thanked him , and bade him show him the house he had marked .",,
['houses chalked manner'],But when they came to it they saw that five or six of the houses were chalked in the same manner .,,
['beheaded having failed'],"The guide was so confounded that he knew not what answer to make , and when they returned he was at once beheaded for having failed .",,
['robber dispatched having'],"Another robber was dispatched , and , having won over Baba Mustapha , marked the house in red chalk ; but Morgiana being again too clever for them , the second messenger was put to death also .",,
['captain resolved wiser'],"The Captain now resolved to go himself , but , wiser than the others , he did not mark the house , but looked at it so closely that he could not fail to remember it .",,
['buy nineteen mules'],"He returned , and ordered his men to go into the neighboring villages and buy nineteen mules , and thirty-eight leather jars , all empty except one , which was full of oil .",,
['jars oil vessel'],"The Captain put one of his men , fully armed , into each , rubbing the outside of the jars with oil from the full vessel .",,
